,Unnamed: 0,French,English
0,0,partie,part
1,3,seulement,only
2,4,police,police
3,5,pensais,thought
4,6,aide,help
5,8,genre,kind
6,9,mois,month
7,10,frère,brother
8,11,laisser,let
9,16,eux,them
10,17,ville,city
11,18,chaque,each
12,19,parlé,speak
13,20,arrivé,come
14,26,pendant,while
15,30,parle,speak
16,35,voici,here is
17,38,donner,give
18,40,leurs,their
19,41,donné,given
20,42,train,train
21,46,façon,way
22,47,écoute,listen
23,48,dont,whose
24,49,trouve,find
25,50,premier,first
26,52,main,hand
27,54,côté,side
28,60,tellement,so much
29,63,venu,came
30,65,pardon,sorry
31,68,vers,towards
32,69,minutes,minutes
33,70,demandé,request
34,75,aimerais,would like to
35,76,aujourd'hui,today
36,77,mari,husband
37,85,boulot,job
38,87,dirait,would say
39,90,donne,given
40,92,fin,end
41,94,chérie,sweetheart
42,96,plutôt,rather
43,97,aura,will have
44,99,bureau,office
